Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.092,10.096,10.929,11.736,12.254,13.014,14.883,14.39,15.37,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.946,19.101,18.375,no data,no data,no data,no data,no data,no data,no data
Albania,3.21,2.87,2.706,2.602,2.43,2.443,2.339,2.283,2.204,2.122,2.045,2.681,9.166,19.235,25.806,27.763,31.244,34.168,36.062,36.309,37.51,38.081,38.864,40.093,40.276,40.343,40.105,40.763,41.643,42.378,43.756,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.856,40.641,40.397,39.996,41.07,41.347,41.905,42.324,42.758,43.242,43.716
Algeria,1.811,1.893,1.816,1.867,1.926,1.954,1.952,2.023,2.215,2.468,3.1,4.72,5.662,6.255,7.726,9.822,11.911,12.529,12.002,13.16,15.739,15.319,15.283,16.236,17.748,19.983,21.433,22.209,25.138,22.183,25.449,29.476,32.593,33.43,34.04,35.011,37.156,38.856,41.163,40.246,37.731,41.731,47.39,48.366,50.173,52.165,54.352,55.96,57.479
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.698,0.704,0.716,0.724,0.727,0.728,0.731,0.735,0.737,0.734,0.728,0.714,0.695,0.675,0.662,0.665,0.643,0.63,0.622,0.619,0.618,0.606,0.591,0.594,0.604,0.604,0.603,0.602,0.603
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.046,0.064,0.413,2.09,4.218,10.086,19.18,24.925,34.408,39.092,39.703,46.502,38.461,50.047,64.606,65.682,66.019,65.001,68.182,80.779,92.952,116.434,138.59,155.359,210.19,228.963,246.42,297.001,339.982,361.275,381.518,406.452
Antigua and Barbuda,1.297,1.284,1.346,1.362,1.365,1.421,1.506,1.6,1.737,1.748,1.713,1.7,1.703,1.694,1.712,1.717,1.737,1.739,1.755,1.757,1.745,1.732,1.717,1.669,1.651,1.672,1.628,1.645,1.685,1.705,1.709,1.691,1.829,1.854,1.915,2.04,2.06,2.094,2.092,2.056,2.08,2.058,1.998,2.023,2.036,2.044,2.046,2.049,2.052
Argentina,0,0,0,0,0,0,0,0,0.001,0.016,0.334,0.767,0.852,0.817,0.823,0.832,0.816,0.799,0.776,0.752,0.743,0.718,0.923,0.999,1.031,1.103,1.217,1.362,1.647,1.888,2.255,2.733,3.218,3.941,5.452,6.867,9.295,10.257,14.226,21.087,29.12,42.449,67.229,141.072,269.377,405.743,566.449,762.374,991.929
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.053,0.79,35.236,89.188,105.437,121.955,134.792,133.158,128.477,130.865,130.048,133.334,138.036,137.875,139.927,142.012,147.62,150.43,160.191,163.65,157.964,159.846,165.186,172.924,161.229,155.971,156.518,155.353,156.04,159.611,161.271,163.243,166.739,169.983,173.25,176.775,180.154
Aruba,no data,no data,no data,no data,no data,no data,0.979,0.99,0.986,0.986,1.006,1.027,1.043,1.073,1.116,1.131,1.146,1.169,1.232,1.24,1.224,1.163,1.196,1.209,1.21,1.233,1.238,1.267,1.297,1.31,1.279,1.303,1.318,1.285,1.309,1.362,1.355,1.351,1.365,1.423,1.392,1.266,1.223,1.245,1.244,1.243,1.244,1.246,1.248
